,batsman,total_runs
0,A Choudhary,20
1,A Kumble,49
2,A Mithun,26
3,A Mukund,22
4,AA Noffke,12
5,AB Dinda,13
6,AB McDonald,38
7,AB de Villiers,1820
8,AF Milne,12
9,AN Ahmed,6
10,AUK Pathan,26
11,Abdur Razzak,2
12,B Akhil,48
13,B Chipli,30
14,CA Pujara,155
15,CH Gayle,2176
16,CJ Jordan,4
17,CK Langeveldt,8
18,CL White,138
19,D Wiese,94
20,D du Preez,13
21,DJG Sammy,18
22,DL Vettori,58
23,DT Christian,16
24,DT Patil,13
25,DW Steyn,25
26,EJG Morgan,31
27,HV Patel,38
28,Iqbal Abdulla,54
29,J Arunkumar,24
30,J Syed Mohammad,27
31,JA Morkel,41
32,JD Ryder,49
33,JD Unadkat,2
34,JH Kallis,1054
35,JJ van der Wath,17
36,KB Arun Karthik,48
37,KD Karthik,120
38,KK Nair,12
39,KL Rahul,293
40,KM Jadhav,227
41,KP Appanna,4
42,KP Pietersen,248
43,KV Sharma,3
44,KW Richardson,1
45,LA Pomersbach,41
46,LRPL Taylor,373
47,M Kaif,51
48,M Kartik,3
49,M Muralitharan,9
50,MA Agarwal,357
51,MA Starc,98
52,MC Henriques,127
53,MK Pandey,353
54,MS Bisla,30
55,MV Boucher,312
56,Mandeep Singh,280
57,Misbah-ul-Haq,82
58,NJ Maddinson,21
59,P Kumar,154
60,P Negi,114
61,P Parameswaran,2
62,PA Patel,191
63,Pankaj Singh,4
64,Parvez Rasool,9
65,R Bishnoi,17
66,R Dravid,741
67,R Ninan,6
68,R Rampaul,52
69,R Vinay Kumar,216
70,RE van der Merwe,103
71,RR Bhatkal,2
72,RR Rossouw,51
73,RV Uthappa,401
74,S Aravind,59
75,S Badree,25
76,S Chanderpaul,33
77,S Rana,66
78,S Sriram,31
79,SA Abbott,13
80,SB Joshi,16
81,SN Khan,103
82,SP Goswami,160
83,SR Watson,215
84,SS Tiwary,482
85,STR Binny,118
86,Sachin Baby,99
87,TM Dilshan,556
88,TM Head,151
89,TS Mills,11
90,V Kohli,3494
91,VH Zol,26
92,VR Aaron,37
93,Vishnu Vinod,26
94,W Jaffer,129
95,YS Chahal,29
96,YV Takawale,92
97,Yuvraj Singh,288
98,Z Khan,84
