,season,Chennai Super Kings,Deccan Chargers,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
0,2008,16,14,14,0,15,0,13,14,0,16,0,0,14,0
1,2009,14,16,15,0,14,0,13,13,0,13,0,0,16,0
2,2010,16,16,14,0,14,0,14,16,0,14,0,0,16,0
3,2011,16,14,14,0,14,14,15,16,13,13,0,0,16,0
4,2012,18,15,18,0,16,0,17,17,16,16,0,0,15,0
5,2013,18,0,16,0,16,0,16,19,16,18,0,0,16,17
6,2014,16,0,14,0,17,0,16,15,0,14,0,0,14,14
7,2015,17,0,14,0,14,0,13,16,0,13,0,0,16,14
8,2016,0,0,14,16,14,0,15,14,0,0,0,14,16,17
9,2017,0,0,14,14,14,0,16,17,0,0,16,0,13,14
